freq,Z_re,Z_im,temperature,pO2
1e+06,277.346,696.006,550,0.05
661474,374.297,997.736,550,0.05
437548,537.739,1411.78,550,0.05
289427,823.404,1977.46,550,0.05
191448,1305.69,2685.89,550,0.05
126638,2107.61,3522,550,0.05
83767.8,3294.73,4307.58,550,0.05
55410.2,4845.32,4856.91,550,0.05
36652.4,6469.06,4974.55,550,0.05
24244.6,7924.27,4804.62,550,0.05
16037.2,9043.15,4593.68,550,0.05
10608.2,9891.58,4617.36,550,0.05
7017.04,10585.7,5046.55,550,0.05
4641.59,11294.1,6008.68,550,0.05
3070.29,12202.3,7612.58,550,0.05
2030.92,13653.2,10037,550,0.05
1343.4,15857.6,13261.2,550,0.05
888.624,19398.2,17269.3,550,0.05
587.802,24873,21667.3,550,0.05
388.816,32510,25425.4,550,0.05
257.191,41759.2,27218.2,550,0.05
170.125,51713.8,26543.9,550,0.05
112.534,60264.2,23414.1,550,0.05
74.438,66665.7,19096.1,550,0.05
49.2388,70806.9,14699.2,550,0.05
32.5702,73766.9,10975.3,550,0.05
21.5443,75325.2,7973.83,550,0.05
14.251,76507.6,5734.73,550,0.05
9.42668,76968.9,4071.99,550,0.05
6.23551,77428.1,2884.86,550,0.05
4.12463,77557.8,2032.09,550,0.05
2.72833,77631.3,1428.89,550,0.05
1.80472,77887.7,1006.4,550,0.05
1.19378,78213.8,709.104,550,0.05
0.789652,77859.9,495.129,550,0.05
0.522335,78122.9,348.383,550,0.05
0.345511,78358.3,245,550,0.05
0.228546,78279.5,171.586,550,0.05
0.151178,78126,120.046,550,0.05
0.1,77947,83.9543,550,0.05
