freq,Z_re,Z_im,temperature,pO2
1e+06,282.397,962.648,400,0.05
661474,357.227,1391.06,400,0.05
437548,468.105,2007.5,400,0.05
289427,637.105,2906.25,400,0.05
191448,896.243,4207.61,400,0.05
126638,1300.07,6083.77,400,0.05
83767.8,1940.57,8764.86,400,0.05
55410.2,2986.14,12587.7,400,0.05
36652.4,4729.29,17956.5,400,0.05
24244.6,7749.18,25536.3,400,0.05
16037.2,12911.4,35578.6,400,0.05
10608.2,21749.2,48390.4,400,0.05
7017.04,36265.6,63222.3,400,0.05
4641.59,57699.1,77112,400,0.05
3070.29,84897.6,86146.3,400,0.05
2030.92,113906,88485.5,400,0.05
1343.4,139447,85806.1,400,0.05
888.624,158308,82505.6,400,0.05
587.802,172189,83773.9,400,0.05
388.816,184454,93265.2,400,0.05
257.191,197019,113024,400,0.05
170.125,213745,146085,400,0.05
112.534,236935,194260,400,0.05
74.438,274530,262041,400,0.05
49.2388,334484,350199,400,0.05
32.5702,431023,457308,400,0.05
21.5443,579046,571605,400,0.05
14.251,782741,664773,400,0.05
9.42668,1.02997e+06,706647,400,0.05
6.23551,1.28534e+06,680305,400,0.05
4.12463,1.5012e+06,593803,400,0.05
2.72833,1.65167e+06,477994,400,0.05
1.80472,1.76468e+06,368433,400,0.05
1.19378,1.82948e+06,273005,400,0.05
0.789652,1.8669e+06,197887,400,0.05
0.522335,1.9003e+06,142479,400,0.05
0.345511,1.91379e+06,101210,400,0.05
0.228546,1.92455e+06,71648.7,400,0.05
0.151178,1.92248e+06,50316.6,400,0.05
0.1,1.93171e+06,35510.5,400,0.05
