freq,Z_re,Z_im,temperature,pO2
1e+06,267.676,813.275,500,0.0001
689343,333.878,1132.49,500,0.0001
475193,432.987,1572.93,500,0.0001
327571,586.241,2184.86,500,0.0001
225809,828.66,3033.3,500,0.0001
155660,1211.27,4170.6,500,0.0001
107303,1830.79,5686.36,500,0.0001
73968.3,2853.54,7686.84,500,0.0001
50989.5,4530,10215.4,500,0.0001
35149.3,7133.54,13067.7,500,0.0001
24229.9,10990.7,15978.8,500,0.0001
16702.7,16034.6,18230.7,500,0.0001
11513.9,21845.9,19353.7,500,0.0001
7937.01,27470.7,19180.3,500,0.0001
5471.32,32172.9,18269.6,500,0.0001
3771.61,35866.5,17507.1,500,0.0001
2599.93,38584.8,17474.4,500,0.0001
1792.24,41240.4,18839.6,500,0.0001
1235.47,43718.2,21610.7,500,0.0001
851.662,47064.4,26222.3,500,0.0001
587.087,52029.8,32860.3,500,0.0001
404.704,59001.8,41113.3,500,0.0001
278.98,69766.5,50880.9,500,0.0001
192.313,84694.2,60402.9,500,0.0001
132.569,103802,67454.3,500,0.0001
91.3857,126309,70223.6,500,0.0001
62.9961,148380,67145.2,500,0.0001
43.4259,168435,59825.9,500,0.0001
29.9353,182857,49712.9,500,0.0001
20.6357,194070,39707.3,500,0.0001
14.2251,200714,30558.6,500,0.0001
9.80593,205258,23078.9,500,0.0001
6.75965,207385,17133.1,500,0.0001
4.65971,209750,12687.8,500,0.0001
3.21214,211660,9351.99,500,0.0001
2.21426,211392,6810.9,500,0.0001
1.52639,212992,4998.22,500,0.0001
1.0522,212862,3635.16,500,0.0001
0.725329,212723,2642.11,500,0.0001
0.5,213689,1929.49,500,0.0001
