freq,Z_re,Z_im,temperature,pO2
1e+06,269.389,743.98,550,0.0001
689343,341.516,1028.81,550,0.0001
475193,457.503,1426.63,550,0.0001
327571,643.817,1968.66,550,0.0001
225809,945.583,2688.8,550,0.0001
155660,1440.66,3626.44,550,0.0001
107303,2229.69,4758.38,550,0.0001
73968.3,3488.68,6091.74,550,0.0001
50989.5,5295.8,7367.44,550,0.0001
35149.3,7679.84,8373.97,550,0.0001
24229.9,10327.9,8791.68,550,0.0001
16702.7,12798.3,8609.02,550,0.0001
11513.9,14907.8,8189.54,550,0.0001
7937.01,16502.8,7837.42,550,0.0001
5471.32,17797.3,7891.34,550,0.0001
3771.61,18896.7,8490.28,550,0.0001
2599.93,20143.3,9796.6,550,0.0001
1792.24,21784.5,11874.6,550,0.0001
1235.47,24142.4,14733.2,550,0.0001
851.662,27528.8,18186.1,550,0.0001
587.087,32552,21973.8,550,0.0001
404.704,39420.8,25359,550,0.0001
278.98,47718.4,27302.8,550,0.0001
192.313,56426.2,27073.7,550,0.0001
132.569,64828.9,24935.5,550,0.0001
91.3857,71496.4,21350.7,550,0.0001
62.9961,76393.3,17330,550,0.0001
43.4259,79844.5,13560.9,550,0.0001
29.9353,81719.2,10291.3,550,0.0001
20.6357,83158.7,7715.25,550,0.0001
14.2251,84343.2,5739.79,550,0.0001
9.80593,84575.1,4209.19,550,0.0001
6.75965,85001,3087.42,550,0.0001
4.65971,85188.5,2254.98,550,0.0001
3.21214,85459.8,1646.92,550,0.0001
2.21426,85487.2,1198.53,550,0.0001
1.52639,85791.3,874.588,550,0.0001
1.0522,85783.1,635.646,550,0.0001
0.725329,86034,463.256,550,0.0001
0.5,85743.4,335.433,550,0.0001
