freq,Z_re,Z_im,temperature,pO2
1e+06,287.583,1003.09,400,0.0001
661474,363.138,1446.98,400,0.0001
437548,478.082,2102.55,400,0.0001
289427,647.385,3043.72,400,0.0001
191448,898.317,4384.68,400,0.0001
126638,1285.47,6336.84,400,0.0001
83767.8,1893.95,9177.19,400,0.0001
55410.2,2851.93,13206.8,400,0.0001
36652.4,4412.64,18945.7,400,0.0001
24244.6,7045.83,27136,400,0.0001
16037.2,11540.8,38487.9,400,0.0001
10608.2,19329.2,53843.4,400,0.0001
7017.04,32668,73440.2,400,0.0001
4641.59,54352.5,95704.9,400,0.0001
3070.29,86656.7,116881,400,0.0001
2030.92,128640,131476,400,0.0001
1343.4,173538,135212,400,0.0001
888.624,212385,130057,400,0.0001
587.802,242669,124305,400,0.0001
388.816,264134,124233,400,0.0001
257.191,284029,136328,400,0.0001
170.125,303824,162517,400,0.0001
112.534,329764,206336,400,0.0001
74.438,366769,269349,400,0.0001
49.2388,427943,355474,400,0.0001
32.5702,525520,461366,400,0.0001
21.5443,672578,573265,400,0.0001
14.251,878944,667676,400,0.0001
9.42668,1.12626e+06,708757,400,0.0001
6.23551,1.38092e+06,681326,400,0.0001
4.12463,1.58871e+06,591494,400,0.0001
2.72833,1.75037e+06,479461,400,0.0001
1.80472,1.85951e+06,368631,400,0.0001
1.19378,1.92172e+06,272784,400,0.0001
0.789652,1.9648e+06,198311,400,0.0001
0.522335,1.98871e+06,142069,400,0.0001
0.345511,2.00048e+06,100836,400,0.0001
0.228546,2.01038e+06,71352.7,400,0.0001
0.151178,2.01812e+06,50362.7,400,0.0001
0.1,2.02281e+06,35458.5,400,0.0001
