freq,Z_re,Z_im,temperature,pO2
1e+06,267.568,750.503,550,1e-06
661474,348.8,1079.54,550,1e-06
437548,483.22,1549.6,550,1e-06
289427,713.501,2221.67,550,1e-06
191448,1103.72,3132.73,550,1e-06
126638,1783.05,4354.39,550,1e-06
83767.8,2925.8,5851.55,550,1e-06
55410.2,4771.57,7517.92,550,1e-06
36652.4,7389.32,8932.95,550,1e-06
24244.6,10578.3,9701.32,550,1e-06
16037.2,13769.5,9659.35,550,1e-06
10608.2,16459.2,9143.99,550,1e-06
7017.04,18499.2,8701.18,550,1e-06
4641.59,20104,8793.63,550,1e-06
3070.29,21490,9642.73,550,1e-06
2030.92,23172.7,11455.6,550,1e-06
1343.4,25546.4,14264.3,550,1e-06
888.624,29140.4,17944.5,550,1e-06
587.802,34574.6,22054.3,550,1e-06
388.816,42425.2,25778,550,1e-06
257.191,51802.4,27542.1,550,1e-06
170.125,61650,26712.3,550,1e-06
112.534,69924.1,23436.3,550,1e-06
74.438,76467.7,19141.4,550,1e-06
49.2388,81068.4,14816.9,550,1e-06
32.5702,83498.8,10984.4,550,1e-06
21.5443,85028.8,7978.08,550,1e-06
14.251,86233,5737.29,550,1e-06
9.42668,86871.4,4082.81,550,1e-06
6.23551,87422,2895.06,550,1e-06
4.12463,87552.8,2039.53,550,1e-06
2.72833,87536.1,1432.75,550,1e-06
1.80472,87789.3,1008.81,550,1e-06
1.19378,88029.7,709.823,550,1e-06
0.789652,88051.4,498.019,550,1e-06
0.522335,88046.7,349.221,550,1e-06
0.345511,88005.7,244.735,550,1e-06
0.228546,88170.5,171.891,550,1e-06
0.151178,88125.6,120.431,550,1e-06
0.1,88165.7,84.4533,550,1e-06
