freq,Z_re,Z_im,temperature,pO2
1e+06,287.947,667.092,550,1e-12
689343,381.019,912.02,550,1e-12
475193,535.024,1238.65,550,1e-12
327571,786.361,1653.82,550,1e-12
225809,1185.83,2145.97,550,1e-12
155660,1784.63,2663.46,550,1e-12
107303,2617.52,3129.92,550,1e-12
73968.3,3603.3,3404.55,550,1e-12
50989.5,4611.92,3455.92,550,1e-12
35149.3,5512.12,3359.95,550,1e-12
24229.9,6209.21,3239.39,550,1e-12
16702.7,6728.55,3238.08,550,1e-12
11513.9,7169.61,3472.21,550,1e-12
7937.01,7594.28,4007.25,550,1e-12
5471.32,8106.54,4924.93,550,1e-12
3771.61,8764.43,6281.51,550,1e-12
2599.93,9697.21,8156.36,550,1e-12
1792.24,11140.6,10663.7,550,1e-12
1235.47,13402.5,13869.4,550,1e-12
851.662,16794,17606.9,550,1e-12
587.087,21680,21477.9,550,1e-12
404.704,28479.3,24975.6,550,1e-12
278.98,36745.3,27006.6,550,1e-12
192.313,45648.5,26956.9,550,1e-12
132.569,53915.7,24810.3,550,1e-12
91.3857,60745.4,21318.9,550,1e-12
62.9961,65379.4,17241.5,550,1e-12
43.4259,68796.1,13493.9,550,1e-12
29.9353,70845.4,10262.7,550,1e-12
20.6357,72415.4,7709.54,550,1e-12
14.2251,73427.4,5725.47,550,1e-12
9.80593,73808.3,4204.97,550,1e-12
6.75965,74231.9,3084.65,550,1e-12
4.65971,74284.9,2248.75,550,1e-12
3.21214,74685.9,1645.59,550,1e-12
2.21426,74998.9,1202.01,550,1e-12
1.52639,74794.5,871.549,550,1e-12
1.0522,74806.1,633.558,550,1e-12
0.725329,74954.6,461.288,550,1e-12
0.5,74848.6,334.662,550,1e-12
