freq,Z_re,Z_im,temperature,pO2
1e+06,271.357,869.574,450,0.01
661474,345.331,1258.96,450,0.01
437548,457.314,1815.2,450,0.01
289427,635.383,2626.81,450,0.01
191448,918.178,3782.14,450,0.01
126638,1381.28,5422.6,450,0.01
83767.8,2166.41,7752.8,450,0.01
55410.2,3508.25,10953.4,450,0.01
36652.4,5833.05,15238.5,450,0.01
24244.6,9782.91,20595.3,450,0.01
16037.2,16134.7,26539.3,450,0.01
10608.2,25395.9,31947.4,450,0.01
7017.04,36655.7,34984.7,450,0.01
4641.59,48231,35314,450,0.01
3070.29,57747,33694.4,450,0.01
2030.92,65155.5,32530.8,450,0.01
1343.4,70595.5,33308.7,450,0.01
888.624,75625.5,37437.8,450,0.01
587.802,80921,45540.6,450,0.01
388.816,88132,58586.6,450,0.01
257.191,99092.9,77385.9,450,0.01
170.125,117091,102875,450,0.01
112.534,145227,133660,450,0.01
74.438,187639,166035,450,0.01
49.2388,247195,193303,450,0.01
32.5702,318893,205305,450,0.01
21.5443,391305,196713,450,0.01
14.251,452411,171199,450,0.01
9.42668,501162,139331,450,0.01
6.23551,530876,106729,450,0.01
4.12463,551305,79325.6,450,0.01
2.72833,562710,57556.4,450,0.01
1.80472,569454,41219.1,450,0.01
1.19378,573672,29296.8,450,0.01
0.789652,577608,20768.9,450,0.01
0.522335,577863,14609,450,0.01
0.345511,578511,10273.1,450,0.01
0.228546,579757,7226.69,450,0.01
0.151178,579674,5069.67,450,0.01
0.1,580500,3560.9,450,0.01
