freq,Z_re,Z_im,temperature,pO2
1e+06,290.007,644.975,600,0.01
689343,388.57,882.903,600,0.01
475193,549.542,1192,600,0.01
327571,809.85,1574.34,600,0.01
225809,1217.36,2011.24,600,0.01
155660,1820.19,2455.16,600,0.01
107303,2589.64,2779.56,600,0.01
73968.3,3479.12,2942.5,600,0.01
50989.5,4310.98,2898.2,600,0.01
35149.3,5016.45,2766.02,600,0.01
24229.9,5554.77,2658.46,600,0.01
16702.7,5983.47,2686.47,600,0.01
11513.9,6356.8,2911.49,600,0.01
7937.01,6761.45,3385.26,600,0.01
5471.32,7244.38,4124.32,600,0.01
3771.61,8015.12,5214.93,600,0.01
2599.93,9072.41,6567.89,600,0.01
1792.24,10742.1,8214.17,600,0.01
1235.47,13051.5,9853.32,600,0.01
851.662,16203.2,11248,600,0.01
587.087,19943.1,11937.4,600,0.01
404.704,23746.5,11640.9,600,0.01
278.98,27244.1,10530.8,600,0.01
192.313,30093.9,8932.91,600,0.01
132.569,32058.4,7178.13,600,0.01
91.3857,33234.1,5546.26,600,0.01
62.9961,34150.1,4213.67,600,0.01
43.4259,34601.7,3139.46,600,0.01
29.9353,35104.2,2333.41,600,0.01
20.6357,35283.6,1713.81,600,0.01
14.2251,35463.5,1256.46,600,0.01
9.80593,35558.1,917.769,600,0.01
6.75965,35566.1,668.144,600,0.01
4.65971,35664.7,487.341,600,0.01
3.21214,35703.7,354.706,600,0.01
2.21426,35703.3,257.799,600,0.01
1.52639,35722.7,187.427,600,0.01
1.0522,35793.2,136.436,600,0.01
0.725329,35835.8,99.2273,600,0.01
0.5,35741.2,71.8838,600,0.01
