freq,Z_re,Z_im,temperature,pO2
1e+06,283.971,976.565,400,0.01
689343,351.459,1364.89,400,0.01
475193,446.468,1901.85,400,0.01
327571,583.679,2652.97,400,0.01
225809,780.218,3686.89,400,0.01
155660,1074.91,5151.57,400,0.01
107303,1506.86,7148.26,400,0.01
73968.3,2164.47,9914.59,400,0.01
50989.5,3195.41,13770.4,400,0.01
35149.3,4821.64,19015.3,400,0.01
24229.9,7467.39,26176.2,400,0.01
16702.7,11774.1,35606.3,400,0.01
11513.9,18772,47564.8,400,0.01
7937.01,30045.6,62098.3,400,0.01
5471.32,47205.7,77813.2,400,0.01
3771.61,70997.6,91860.4,400,0.01
2599.93,100239,101122,400,0.01
1792.24,131274,103922,400,0.01
1235.47,158406,100877,400,0.01
851.662,180180,96862.8,400,0.01
587.087,196930,96053.8,400,0.01
404.704,209481,101068,400,0.01
278.98,221983,114955,400,0.01
192.313,236934,139697,400,0.01
132.569,255242,176184,400,0.01
91.3857,284191,228960,400,0.01
62.9961,326046,297532,400,0.01
43.4259,390130,382984,400,0.01
29.9353,486314,480950,400,0.01
20.6357,627835,583175,400,0.01
14.2251,816795,667634,400,0.01
9.80593,1.03844e+06,707594,400,0.01
6.75965,1.26773e+06,691035,400,0.01
4.65971,1.46915e+06,621897,400,0.01
3.21214,1.63224e+06,525575,400,0.01
2.21426,1.74816e+06,422153,400,0.01
1.52639,1.82716e+06,327707,400,0.01
1.0522,1.86888e+06,247293,400,0.01
0.725329,1.90903e+06,185507,400,0.01
0.5,1.92181e+06,136702,400,0.01
