freq,Z_re,Z_im,temperature,pO2
1e+06,267.334,784.048,500,0.01
661474,346.787,1135.75,500,0.01
437548,471.444,1629.12,500,0.01
289427,681.775,2343.58,500,0.01
191448,1036.32,3341.62,500,0.01
126638,1643.5,4700.53,500,0.01
83767.8,2697.05,6503.57,500,0.01
55410.2,4459.84,8684.13,500,0.01
36652.4,7231.22,10996.2,500,0.01
24244.6,11143.3,12953.8,500,0.01
16037.2,15731,13899.9,500,0.01
10608.2,20117.1,13725.5,500,0.01
7017.04,23601.9,13004,500,0.01
4641.59,26375.9,12690.2,500,0.01
3070.29,28425,13230.1,500,0.01
2030.92,30344.1,15103.8,500,0.01
1343.4,32553.4,18578.9,500,0.01
888.624,35772.4,24008.2,500,0.01
587.802,40937.3,31717.3,500,0.01
388.816,48736.9,41269.2,500,0.01
257.191,61413.1,52514.9,500,0.01
170.125,79160.9,62636.9,500,0.01
112.534,102220,69083.8,500,0.01
74.438,127390,69011.6,500,0.01
49.2388,151063,62684.1,500,0.01
32.5702,168486,51939.7,500,0.01
21.5443,180885,40608.4,500,0.01
14.251,189058,30512.9,500,0.01
9.42668,193941,22314.8,500,0.01
6.23551,196859,16059.2,500,0.01
4.12463,198809,11456.6,500,0.01
2.72833,200387,8137.23,500,0.01
1.80472,200422,5725.48,500,0.01
1.19378,200811,4031.01,500,0.01
0.789652,201528,2840.4,500,0.01
0.522335,201858,1996.51,500,0.01
0.345511,202572,1405.47,500,0.01
0.228546,202445,985.026,500,0.01
0.151178,201567,687.672,500,0.01
0.1,202251,483.745,500,0.01
