freq,Z_re,Z_im,temperature,pO2
1e+06,273.31,867.231,400,1e-15
689343,340.69,1212.34,400,1e-15
475193,437.861,1684.33,400,1e-15
327571,584.187,2340.12,400,1e-15
225809,809.915,3253.82,400,1e-15
155660,1162.17,4509.52,400,1e-15
107303,1722.73,6218.29,400,1e-15
73968.3,2627.1,8500.86,400,1e-15
50989.5,4113.8,11517.4,400,1e-15
35149.3,6497.38,15233.8,400,1e-15
24229.9,10328,19716.9,400,1e-15
16702.7,15946.8,24256,400,1e-15
11513.9,23380.7,27971.2,400,1e-15
7937.01,32198.2,30270.8,400,1e-15
5471.32,40717,30565.1,400,1e-15
3771.61,48141.1,29979.5,400,1e-15
2599.93,53893.5,29671.4,400,1e-15
1792.24,58082.2,30746.6,400,1e-15
1235.47,61888.9,34415,400,1e-15
851.662,65388.9,41124.5,400,1e-15
587.087,69464.5,51828.3,400,1e-15
404.704,75000.4,67755.4,400,1e-15
278.98,82993.4,90511,400,1e-15
192.313,94253.5,121385,400,1e-15
132.569,111500,163305,400,1e-15
91.3857,137979,218603,400,1e-15
62.9961,179461,290136,400,1e-15
43.4259,244255,379022,400,1e-15
29.9353,340426,478171,400,1e-15
20.6357,480803,580560,400,1e-15
14.2251,666235,662776,400,1e-15
9.80593,890925,706303,400,1e-15
6.75965,1.11759e+06,688533,400,1e-15
4.65971,1.3263e+06,623305,400,1e-15
3.21214,1.48452e+06,525010,400,1e-15
2.21426,1.6018e+06,422122,400,1e-15
1.52639,1.67992e+06,327548,400,1e-15
1.0522,1.72381e+06,247396,400,1e-15
0.725329,1.75857e+06,185083,400,1e-15
0.5,1.78051e+06,137053,400,1e-15
