freq,Z_re,Z_im,temperature,pO2
1e+06,273.948,746.036,450,1e-15
689343,351.069,1034.71,450,1e-15
475193,474.018,1432.6,450,1e-15
327571,669.616,1963.6,450,1e-15
225809,992.07,2675.79,450,1e-15
155660,1511,3570.46,450,1e-15
107303,2347.14,4661.57,450,1e-15
73968.3,3629.93,5865.73,450,1e-15
50989.5,5395.2,6940.35,450,1e-15
35149.3,7587.12,7700.32,450,1e-15
24229.9,9833.52,7933.05,450,1e-15
16702.7,11907.1,7858.72,450,1e-15
11513.9,13476.7,7683.16,450,1e-15
7937.01,14777.8,7867.47,450,1e-15
5471.32,15713.7,8539.74,450,1e-15
3771.61,16704.6,10046.2,450,1e-15
2599.93,17638.4,12433.2,450,1e-15
1792.24,18917,16103.3,450,1e-15
1235.47,20725.1,21418.3,450,1e-15
851.662,23200.6,28681.9,450,1e-15
587.087,27012.3,38727.5,450,1e-15
404.704,32837,52232.6,450,1e-15
278.98,41592.6,69534.3,450,1e-15
192.313,55685.1,92190.2,450,1e-15
132.569,77005,118948,450,1e-15
91.3857,109168,148947,450,1e-15
62.9961,154148,177263,450,1e-15
43.4259,211428,197313,450,1e-15
29.9353,277412,204037,450,1e-15
20.6357,342854,194408,450,1e-15
14.2251,398213,171263,450,1e-15
9.80593,441086,142181,450,1e-15
6.75965,468720,112262,450,1e-15
4.65971,488187,86332.3,450,1e-15
3.21214,501386,65169.6,450,1e-15
2.21426,510405,48600.1,450,1e-15
1.52639,515336,35860.7,450,1e-15
1.0522,519781,26387.7,450,1e-15
0.725329,522165,19314.9,450,1e-15
0.5,523449,14095,450,1e-15
