freq,Z_re,Z_im,temperature,pO2
1e+06,272.893,893.511,450,1e-09
689343,337.237,1245.69,450,1e-09
475193,430.782,1736.33,450,1e-09
327571,569.074,2421.42,450,1e-09
225809,778.265,3383.46,450,1e-09
155660,1092.13,4696.05,450,1e-09
107303,1580.59,6505.91,450,1e-09
73968.3,2350.75,8960.45,450,1e-09
50989.5,3607.22,12313.9,450,1e-09
35149.3,5653.27,16720.9,450,1e-09
24229.9,9032,22429.1,450,1e-09
16702.7,14347.7,29079.3,450,1e-09
11513.9,22518.7,36387.3,450,1e-09
7937.01,33736.7,42748.6,450,1e-09
5471.32,47333.5,46696.2,450,1e-09
3771.61,61581.3,47575.5,450,1e-09
2599.93,74421.1,46109.6,450,1e-09
1792.24,84288.1,43886,450,1e-09
1235.47,91837.6,43107.4,450,1e-09
851.662,97911.7,45073.9,450,1e-09
587.087,103987,50818,450,1e-09
404.704,111446,61107.3,450,1e-09
278.98,121399,76358,450,1e-09
192.313,135561,96713.9,450,1e-09
132.569,156965,122048,450,1e-09
91.3857,189295,150977,450,1e-09
62.9961,234478,178769,450,1e-09
43.4259,292755,199164,450,1e-09
29.9353,358732,205352,450,1e-09
20.6357,422665,194595,450,1e-09
14.2251,478982,171709,450,1e-09
9.80593,522628,142668,450,1e-09
6.75965,552101,113053,450,1e-09
4.65971,570693,86777.9,450,1e-09
3.21214,582171,65289.3,450,1e-09
2.21426,589136,48503.8,450,1e-09
1.52639,597764,36014.2,450,1e-09
1.0522,599871,26388.8,450,1e-09
0.725329,602646,19327,450,1e-09
0.5,603089,14084.7,450,1e-09
