freq,Z_re,Z_im,temperature,pO2
1e+06,272.921,733.356,500,1
689343,349.41,1014.19,500,1
475193,474.162,1406.8,500,1
327571,669.866,1920.02,500,1
225809,995.745,2611.62,500,1
155660,1524.16,3482.99,500,1
107303,2366.95,4521.7,500,1
73968.3,3639.36,5628.41,500,1
50989.5,5368.28,6578.83,500,1
35149.3,7441.52,7163.66,500,1
24229.9,9616.4,7324.94,500,1
16702.7,11477.4,7114.44,500,1
11513.9,12929.2,6877.39,500,1
7937.01,14052.8,6925,500,1
5471.32,14930.1,7441.97,500,1
3771.61,15805.3,8628.35,500,1
2599.93,16812.3,10621.3,500,1
1792.24,18158.5,13610.3,500,1
1235.47,20122.4,17829.4,500,1
851.662,23063.9,23489.4,500,1
587.087,27633.3,30831.1,500,1
404.704,34509.1,39638.4,500,1
278.98,45022,49722.9,500,1
192.313,60037.8,59689.3,500,1
132.569,79397.1,67132.4,500,1
91.3857,101516,69792.9,500,1
62.9961,124085,67089.5,500,1
43.4259,143389,59533.1,500,1
29.9353,157944,49523,500,1
20.6357,168766,39501.6,500,1
14.2251,175425,30404.7,500,1
9.80593,180694,23060.5,500,1
6.75965,183370,17163.6,500,1
4.65971,184656,12640.9,500,1
3.21214,185760,9281.95,500,1
2.21426,187447,6826.8,500,1
1.52639,187037,4959.9,500,1
1.0522,188030,3627.96,500,1
0.725329,187729,2634.05,500,1
0.5,188609,1923.73,500,1
