freq,Z_re,Z_im,temperature,pO2
1e+06,323.469,571.981,600,1
661474,465.198,780.775,600,1
437548,698.019,1022.74,600,1
289427,1042.02,1250.61,600,1
191448,1484.15,1404.44,600,1
126638,1964.78,1452.09,600,1
83767.8,2375.61,1403.74,600,1
55410.2,2688.71,1349.65,600,1
36652.4,2934.41,1374.54,600,1
24244.6,3123.06,1518.6,600,1
16037.2,3332.99,1838.88,600,1
10608.2,3593.26,2367.46,600,1
7017.04,3976.39,3158.94,600,1
4641.59,4564.64,4255.24,600,1
3070.29,5535.83,5719.45,600,1
2030.92,7084.04,7503.87,600,1
1343.4,9418.12,9387.59,600,1
888.624,12759.9,11047.4,600,1
587.802,16861.1,11878.2,600,1
388.816,21178.1,11568,600,1
257.191,24802.1,10158.9,600,1
170.125,27595.2,8288.13,600,1
112.534,29587.8,6420.43,600,1
74.438,30799.3,4781.47,600,1
49.2388,31457.8,3471.2,600,1
32.5702,32000.3,2498.77,600,1
21.5443,32209.9,1774.55,600,1
14.251,32436.1,1258.25,600,1
9.42668,32499.7,886.435,600,1
6.23551,32537,623.38,600,1
4.12463,32527,437.457,600,1
2.72833,32576.4,307.401,600,1
1.80472,32735.8,216.668,600,1
1.19378,32602.8,151.32,600,1
0.789652,32666.2,106.301,600,1
0.522335,32675,74.5434,600,1
0.345511,32631.5,52.1853,600,1
0.228546,32707.8,36.6653,600,1
0.151178,32745.2,25.7294,600,1
0.1,32753,18.0384,600,1
