freq,Z_re,Z_im,temperature,pO2
1e+06,291.287,655.949,550,1
661474,403.893,930.122,550,1
437548,595.241,1290.7,550,1
289427,923.001,1748.02,550,1
191448,1452,2260.73,550,1
126638,2233.62,2741.88,550,1
83767.8,3196.86,3030.16,550,1
55410.2,4204.31,3088.49,550,1
36652.4,5055.42,2978.27,550,1
24244.6,5722.24,2898.48,550,1
16037.2,6206.15,2985.51,550,1
10608.2,6586.57,3346.69,550,1
7017.04,7066.88,4123.92,550,1
4641.59,7607.57,5329.46,550,1
3070.29,8466.31,7145.34,550,1
2030.92,9849.98,9702.11,550,1
1343.4,12068.4,13064.6,550,1
888.624,15520.5,17063.9,550,1
587.802,20960.6,21496.9,550,1
388.816,28666.7,25363.4,550,1
257.191,37981.4,27215.9,550,1
170.125,47773.2,26465.2,550,1
112.534,56407.4,23392.4,550,1
74.438,62912.6,19112.7,550,1
49.2388,67119.8,14724.2,550,1
32.5702,69988.1,10981.1,550,1
21.5443,71661.1,7990.31,550,1
14.251,72611.7,5728.85,550,1
9.42668,73168.5,4072.75,550,1
6.23551,73372.4,2875.56,550,1
4.12463,73787.1,2033.25,550,1
2.72833,73984.3,1432.03,550,1
1.80472,74147.4,1007.44,550,1
1.19378,73951.9,704.991,550,1
0.789652,74144.6,495.771,550,1
0.522335,74383.4,348.776,550,1
0.345511,74162.7,243.812,550,1
0.228546,74375.4,171.416,550,1
0.151178,74431.1,120.252,550,1
0.1,74196.7,84.0269,550,1
