freq,Z_re,Z_im,temperature,pO2
1e+06,269.798,750.033,500,1e-12
689343,344.776,1045.84,500,1e-12
475193,458.976,1442.55,500,1e-12
327571,643.948,1987.84,500,1e-12
225809,945.555,2720.23,500,1e-12
155660,1435.16,3664.14,500,1e-12
107303,2240.19,4862.05,500,1e-12
73968.3,3488.11,6211.46,500,1e-12
50989.5,5311.92,7558.49,500,1e-12
35149.3,7711.44,8629.77,500,1e-12
24229.9,10385.9,9115.21,500,1e-12
16702.7,12982.2,9064.23,500,1e-12
11513.9,15121.1,8710.49,500,1e-12
7937.01,16764.8,8473.91,500,1e-12
5471.32,18064.5,8696.31,500,1e-12
3771.61,19164.6,9582.35,500,1e-12
2599.93,20284.6,11314.6,500,1e-12
1792.24,21709.1,14105.3,500,1e-12
1235.47,23797,18229.4,500,1e-12
851.662,26714.6,23737.6,500,1e-12
587.087,31333,31024.4,500,1e-12
404.704,38178,39743.1,500,1e-12
278.98,48871.6,49960.2,500,1e-12
192.313,63760.6,59754.9,500,1e-12
132.569,83167.8,67215.8,500,1e-12
91.3857,105655,70104.2,500,1e-12
62.9961,127569,66983.7,500,1e-12
43.4259,147368,59651.4,500,1e-12
29.9353,162120,49674.3,500,1e-12
20.6357,172255,39454.9,500,1e-12
14.2251,179441,30460.5,500,1e-12
9.80593,183661,22968.2,500,1e-12
6.75965,186708,17130.1,500,1e-12
4.65971,188788,12670.5,500,1e-12
3.21214,189572,9287.9,500,1e-12
2.21426,190669,6809.45,500,1e-12
1.52639,191693,4985.04,500,1e-12
1.0522,191231,3618.45,500,1e-12
0.725329,191988,2641.85,500,1e-12
0.5,192290,1923.48,500,1e-12
